Model,MAE,RMSE,R2 Score
Linear Regression,2687.0105566358334,8986.399884393602,-0.1705962745164218
Decision Tree,2256.716850537635,7955.556309677784,0.08256191423800918
Random Forest,2041.3782481413978,7738.7724100957275,0.13187991080234063
